Date,Close,High,Low,Open,Volume
01/04/2010,2575.31298828125,2575.9557855625326,2532.797550933974,2533.8495119993167,18339300
01/05/2010,2605.175537109375,2605.9674984223448,2575.5165371124353,2575.5165371124353,57043800
01/06/2010,2603.195556640625,2622.0136701166693,2587.6090065397193,2605.379309333124,51569100
01/07/2010,2586.794189453125,2611.501234215196,2570.172767023371,2603.3994992296807,45510800
01/08/2010,2614.268310546875,2614.434075575914,2583.746305796472,2586.6922359959,73723500
01/11/2010,2632.1015625,2649.093820452662,2615.5060176081697,2615.5060176081697,52891200
01/12/2010,2659.447265625,2659.872297870263,2623.671561823953,2632.2032113789314,57497400
01/13/2010,2632.76953125,2657.799562259171,2623.3587649607152,2657.799562259171,42685500
01/14/2010,2645.077880859375,2661.8242988890142,2633.4794556717525,2633.4794556717525,53126200
01/15/2010,2646.987060546875,2655.7025416310958,2638.253269628444,2646.6499154662783,47643800
01/18/2010,2642.445068359375,2648.8207963360765,2629.805424452738,2645.338754364423,30861500
01/19/2010,2665.96728515625,2666.4692187459345,2640.075226472021,2642.2511671747734,32768000
01/20/2010,2667.162353515625,2689.670266959953,2654.8967174005015,2666.4741478667947,36995600
01/21/2010,2638.279541015625,2664.5553752508904,2621.2582299076516,2664.5553752508904,32438400
01/22/2010,2610.238525390625,2636.85931576673,2580.067580179736,2636.85931576673,36693100
01/25/2010,2597.759033203125,2609.6294209566645,2575.8626683551574,2609.6294209566645,33669400
01/26/2010,2578.314697265625,2608.6384683093806,2568.8490011945883,2597.2519485546745,42143000
01/27/2010,2564.454345703125,2594.1453311080277,2554.7828463666674,2577.8078309289317,26010100
01/28/2010,2619.463134765625,2619.8762046489737,2565.278228968183,2565.278228968183,33551500
01/29/2010,2610.6943359375,2619.1590945279722,2569.1661663302893,2619.1590945279722,21712000
02/01/2010,2587.4482421875,2610.4912895372017,2571.658818421881,2610.4912895372017,32319600
02/02/2010,2580.150634765625,2613.571454173968,2574.0100044334918,2588.1583799858495,30633100
02/03/2010,2604.447509765625,2606.181328872721,2580.5553750521517,2580.5553750521517,38272000
02/04/2010,2593.119140625,2610.2664230938876,2588.954263508351,2604.6506746581144,38026400
02/05/2010,2518.878173828125,2592.3081811768566,2506.7914853942534,2592.3081811768566,34842900
02/08/2010,2475.4755859375,2518.5088216281533,2431.7431587348115,2518.5088216281533,36850700
02/09/2010,2489.388427734375,2490.012182806647,2439.815157685206,2474.6538925535538,32704700
02/10/2010,2483.34130859375,2511.637326133832,2474.304551031404,2490.196022199638,26501600
02/11/2010,2507.653564453125,2508.165507456853,2468.758102726864,2483.5424405250374,40917000
02/12/2010,2534.038330078125,2536.4671906172907,2501.8877260129016,2508.056431219821,35308600
02/15/2010,2517.358154296875,2533.6353533057086,2510.86133664647,2533.6353533057086,16743700
02/16/2010,2558.4052734375,2558.5554140762747,2516.2399229227462,2517.559939888362,22302000
02/17/2010,2581.23974609375,2581.499745752281,2558.506498955025,2558.506498955025,35680400
02/18/2010,2559.934326171875,2581.340475660987,2550.4298131886276,2581.340475660987,26304700
02/19/2010,2554.2763671875,2559.83327939028,2527.6465462983306,2559.83327939028,21925400
02/22/2010,2564.163330078125,2574.8689688865043,2553.7147613615366,2554.6798117631038,19028500
02/23/2010,2583.550048828125,2583.5942365567034,2537.9358622491322,2564.062039869509,32655900
02/24/2010,2579.315673828125,2582.3226369279046,2555.370560430735,2582.3226369279046,40083200
02/25/2010,2548.933837890625,2583.058487438458,2535.9934231393554,2579.214642774482,23650800
03/01/2010,2554.574462890625,2565.3369826856483,2545.7937994117183,2548.7316731377773,18985100
03/02/2010,2576.49072265625,2576.9897266599683,2554.3734199552428,2554.3734199552428,25350600
03/03/2010,2566.9892578125,2585.7314486804285,2552.7547041016414,2576.9007374994526,34245400
03/04/2010,2565.545166015625,2579.4325649576626,2557.270585726596,2566.8881313242327,24987400
03/05/2010,2578.671630859375,2582.9873808927787,2565.9541081480897,2565.9541081480897,25418300
03/08/2010,2626.3486328125,2627.5927249807532,2578.873675296934,2578.873675296934,29813600
